method,k,operator,f1,micro_f1,macro_f1,recall,micro_recall,macro_recall,precision,micro_precision,macro_precision
GCRN,2,sigmoid,0.5716959100310377,0.5718875502008032,0.5717153413527871,0.7463312368972747,0.7463312368972747,0.7464463715051292,0.46365523583216545,0.4635416666666667,0.46363685965886087
GCRN,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GCRN,1,HAD,0.4554036761848673,0.4564459930313589,0.4554366422688063,0.4119496855345912,0.4119496855345912,0.4120032293640739,0.5131138049908048,0.51171875,0.5130907510293475
GCRN,2,HAD,0.556425227587954,0.5566265060240964,0.5563160962470247,0.7264150943396226,0.7264150943396226,0.7261600468041328,0.4510586869874021,0.451171875,0.4510136352812595
GCRN,3,HAD,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GCRN,1,AVG,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
GCRN,2,AVG,0.38729605886155977,0.508433734939759,0.3891143922943021,0.6635220125786163,0.6635220125786163,0.6666666666666666,0.2734607027428371,0.412109375,0.2747395833333333
GCRN,3,AVG,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GCRN,1,L1,0.42624410131671325,0.4448315911730546,0.42644851041908316,0.40146750524109015,0.40146750524109015,0.40164359354541035,0.50065362704437,0.4986979166666667,0.5005950991996327
GCRN,2,L1,0.5560139937173117,0.5574297188755021,0.555936400763987,0.7274633123689728,0.7274633123689728,0.7271087523267968,0.45279611819691756,0.4518229166666667,0.45283799857489915
GCRN,3,L1,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GCRN,1,L2,0.4465604927613194,0.4587688734030197,0.4466648945806946,0.4140461215932914,0.4140461215932914,0.4141285279520108,0.5246202292484552,0.5143229166666666,0.5245194546059195
GCRN,2,L2,0.5562629111970904,0.5566265060240964,0.556243220201519,0.7264150943396226,0.7264150943396226,0.7263394478561226,0.45245741289487107,0.451171875,0.45245512110758385
GCRN,3,L2,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TIMERS,1,sigmoid,0.4905628797447472,0.49593495934959353,0.4901403591721893,0.44758909853249473,0.44758909853249473,0.4467655550560731,0.5687859082956246,0.5559895833333334,0.5689451899728907
TIMERS,2,sigmoid,0.5658313748961821,0.5654618473895583,0.5657699422521557,0.7379454926624738,0.7379454926624738,0.7384254805765939,0.4644873256309748,0.4583333333333333,0.4642425531616727
TIMERS,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TIMERS,1,HAD,0.4808894383265662,0.48315911730545874,0.48072586477708684,0.4360587002096436,0.4360587002096436,0.43573429270443254,0.5441671818556554,0.5416666666666666,0.544209593814217
TIMERS,2,HAD,0.5657018691821343,0.5654618473895583,0.5656719739845137,0.7379454926624738,0.7379454926624738,0.7387524559698191,0.46719860290309273,0.4583333333333333,0.46683236035258036
TIMERS,3,HAD,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TIMERS,1,AVG,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
TIMERS,2,AVG,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
TIMERS,3,AVG,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TIMERS,1,L1,0.19103531390351747,0.36469221835075494,0.19346888478126925,0.32914046121593293,0.32914046121593293,0.3333333333333333,0.13457044898672257,0.4088541666666667,0.13628472222222224
TIMERS,2,L1,0.38729605886155977,0.508433734939759,0.3891143922943021,0.6635220125786163,0.6635220125786163,0.6666666666666666,0.2734607027428371,0.412109375,0.2747395833333333
TIMERS,3,L1,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TIMERS,1,L2,0.19103531390351747,0.36469221835075494,0.19346888478126925,0.32914046121593293,0.32914046121593293,0.3333333333333333,0.13457044898672257,0.4088541666666667,0.13628472222222224
TIMERS,2,L2,0.38729605886155977,0.508433734939759,0.3891143922943021,0.6635220125786163,0.6635220125786163,0.6666666666666666,0.2734607027428371,0.412109375,0.2747395833333333
TIMERS,3,L2,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynAE,1,sigmoid,0.198364433355857,0.3728222996515679,0.19651056014692378,0.33647798742138363,0.33647798742138363,0.3333333333333333,0.14063728380503146,0.41796875,0.13932291666666666
